,번호,지점명,연락처,주소,영업시간
39,47,성남점,031-759-9000,"경기도 성남시 수정구 수정로 138 쿠우쿠우빌딩 6,7층","11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
40,46,송탄점,031-667-6274,"경기 평택시 경기대로 1407, 4층","11:30~21:30 (음식 마감 오후 9시, 매장별 상이)"
41,45,미사점,031-795-1998,경기도 하남시 망월동 1093 경서타워 11층,"11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
42,44,화명점,051-364-0303,"부산광역시 북구 화명동 2277-4, 15층","11:00~21:30 (음식 마감 오후 8시30분, 매장별 상이)"
43,43,전주송천점,063-252-6274,"전라북도 전주시 덕진구 사근1길 31, 2층(201~207호)","11:30~22:00 (음식 마감 오후 9시, 매장별 상이)"
44,42,광주첨단점,062-946-9696,"광주광역시 광산구 쌍암동 670-4, 5층","11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
45,41,광주상무점,062-383-0201,"광주광역시 서구 치평동 1230-8, 5층","11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
46,40,골드☆ 보라매공원점,02-835-6274,서울특별시 동작구 보라매로5가길 16 보라매아카데미타워 7층,"11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
47,39,산본점,031-392-3377,"경기도 군포시 산본동 1133-1, 8층","11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
48,38,인천계양점,032-548-9582,"인천광역시 계양구 용종동 211-4, 10층","11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
49,37,순천점,061-722-6274,전라남도 순천시 해룡면 신대리 1973-2 신대타운빌딩 2층,"11:00~21:30 (음식 마감 오후 9시, 매장별 상이)"
50,36,연신내점,02-388-3690,서울특별시 은평구 통일로856 메트로타워 6층,"11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
51,35,광주하남점,062-943-2225,광주광역시 광산구 우산동 1597-1 오렌지파크몰 3층,"11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
52,34,김해장유점,055-311-6274,"경상남도 김해시 삼문로 15, 5층","11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
53,33,송파하비오점,02-402-1357,"서울특별시 송파구 송파대로111 , 205동201호","11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
54,32,속초점,033-637-9959,"강원도 속초시 조양동 1310-32, 2층","11:30~21:00 (음식 마감 오후 8시반, 매장별 상이)"
55,31,서산점,041-665-6274,충청남도 서산시 안견로 242 디퍼아울렛타운 2층,"11:00~21:30 (음식 마감 오후 8시30분, 매장별 상이)"
56,30,목포점,061-287-0900,"전라남도 목포시 남악로 22-14, 펠리시티몰 B101호","11:00~21:30 (음식 마감 오후 9시, 매장별 상이)"
57,29,골드☆민락점,031-852-6279,경기도 의정부시 천보로 56 해동2타워 9층,"11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
58,28,김천혁신점,054-434-6274,"경상북도 김천시 혁신3로 40, 3층",11:00~21:00 (마감시간 매장별 상이)
59,27,골드☆ 상봉점,02-433-6274,"서울특별시 중랑구 상봉2동 101 이지펠리스, 3층","11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
60,26,인천 구월점,032-463-6274,"인천광역시 남동구 구월동 1550-4, D동 2층","11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
61,25,향남점,031-8047-0122,경기도 화성시 향남읍 발안양감로 211 kt시네마3 7층,월~일 11:00~22:00 (음식 마감 매장별 상이)
62,24,삼송원흥점,031-965-6274,"경기도 고양시 덕양구 원흥동 629, 9층","11:00~21:30 (음식 마감 오후 8시반, 매장별 상이)"
63,23,현풍테크노점,053-268-9595,"대구광역시 달성군 유가읍 봉리 606, 10층","11:30~21:00 (음식 마감 오후 9시, 매장별 상이)"
64,22,일산호수공원점,031-932-9752,경기도 고양시 일산동구 장항동 869 SK엠시티 3층,"11:00~21:30 (음식 마감 오후 8시반, 매장별 상이)"
65,21,대전점,042-253-5500,"대전광역시 중구 중앙로156번길 16, 앤비백화점 6층",평일 : 11:00~21:00 / 주말 : 11:00~21:30(마감시간 매장별 상이)
66,20,굴화하나로마트점,052-223-6274,울산광역시 울주군 굴화리 295-1 하나로마트 2층,"11:00~21:30 (음식 마감 오후 9시, 매장별 상이)"
67,19,서수원점,031-294-3110,"경기도 수원시 권선구 금곡동 1117-1, 6층","11:30~22:00 (음식 마감 오후 9시, 매장별 상이)"
68,18,대전유성점,042-825-3113,"대전광역시 유성구 온천로 34, 3층","11:00~21:30 (음식 마감 오후 8시30분, 매장별 상이)"
69,17,가수원점,042-544-1162,"대전광역시 서구 가수원동 1319, 4층","11:00~21:30 (음식 마감 오후 9시, 매장별 상이)"
70,16,세종점,044-862-6274,"세종특별자치시 나성동 782, 8층",11:30~21:00 (음식 마감  매장별 상이)
71,15,이천점,031-632-6274,경기도 이천시 중리천로76 라온펠리스 2층,"11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
72,14,화정점,031-968-6274,"경기도 고양시 덕양구 화정로 53, 8층","11:30~21:00 (음식 마감 오후 7시30분, 매장별 상이)"
73,13,평내호평점,031-511-6275,"경기도 남양주시 늘을2로 32, 8층","11:00~21:30 (음식 마감 오후 9시, 매장별 상이)"
74,12,포항상원점,054-242-6274,경상북도 포항시 북구 중앙로 273 9층,"11:00~21:00 (음식 마감 오후 9시, 매장별 상이)"
75,11,포항문덕점,054-292-0902,"경상북도 포항시 남구 오천읍 원리 1081-5, 1층","11:30~21:00 (음식 마감 오후 8시, 매장별 상이)"
76,10,평촌범계점,031-383-6274,"경기도 안양시 동안구 호계동 1045-6, 6층","11:00~22:00 (음식 마감 오후 9시, 매장별 상이)"
77,9,인천연수점,032-812-6274,인천광역시 연수구 청학동 496-4 연수광장프라자 3층,"11:30~21:30 (음식 마감 오후 9시, 매장별 상이)"
78,8,울산동구점,052-252-6274,"울산광역시 동구 일산동 949-4, 3층","11:00~21:30 (음식 마감 오후 9시, 매장별 상이)"
79,7,수원시청점,031-225-6274,"경기도 수원시 팔달구 인계동 1042-5, 3층","11:00~21:00 (음식 마감 오후 8시, 매장별 상이)"
80,6,둔산점,042-489 -6274,"대전광역시 서구 둔산동 1016, 4층","11:00~21:00 (음식 마감 오후 9시, 매장별 상이)"
81,5,시지점,053-795-6274,대구광역시 수성구 달구벌대로 3294 퍼스트클래스 501호,"11:30~22:00 (음식 마감 오후 9시, 매장별 상이)"
82,4,군산점,063-465-1515,"전라북도 군산시 월명로 180, 3층","11:30~22:00 (음식 마감 오후 9시, 매장별 상이)"
83,3,거제점,055-636-9900,"경상남도 거제시 고현동 976-4, 4층","11:00~21:30 (음식 마감 오후 9시, 매장별 상이)"
84,2,강릉점,033-644-6274,"강원도 강릉시 성남동 105-1, 5층","11:30~21:30 (음식 마감 오후 8시반, 매장별 상이)"
85,1,춘천점,033-269-7004,"강원도 춘천시 퇴계동 1017, 지하 1층","11:30~21:30 (음식 마감 오후 9시, 매장별 상이)"
